city,hotel_name,price,rating,price_category,rating_bucket,price_per_rating
Bangalore,Zipp Hotel Le Opera,2747.0,8.6,Budget,High,319.4186046511628
Bangalore,Olive Hotel Palace Road by Embassy Group,2520.0,8.8,Budget,High,286.3636363636363
Bangalore,Taj Yeshwantpur Bengaluru,12700.0,8.7,Premium,High,1459.7701149425288
Bangalore,"ITC Gardenia, a Luxury Collection Hotel, Bengaluru",18705.0,8.9,Premium,High,2101.6853932584268
Bangalore,ibis Bengaluru City Centre - An Accor Brand,4560.0,7.1,Mid-range,Medium,642.2535211267606
Bangalore,The Oberoi Bengaluru,18000.0,9.4,Premium,High,1914.8936170212764
Bangalore,Stone Hills,6175.0,8.3,Mid-range,Medium,743.9759036144578
Bangalore,"Sliceinn Gulmohar- Near Kempegowda International Airport, Bengaluru",5695.0,7.8,Mid-range,Medium,730.1282051282052
Bangalore,Olive Hotel Rajajinagar by Embassy Group,2321.0,9.0,Budget,High,257.8888888888889
Bangalore,Olive Zip Domlur by Embassy Group,2283.0,8.5,Budget,High,268.5882352941176
Bangalore,Olive Hotel MG Road Dunsvirk Inn by Embassy Group,3498.0,8.4,Mid-range,Medium,416.4285714285714
Bangalore,Olive Hotel Millers Road by Embassy Group,2662.0,8.9,Budget,High,299.1011235955056
Bangalore,Open Hotel by Olive - Moka,2487.0,8.8,Budget,High,282.6136363636363
Bangalore,Olive Hotel Indiranagar 100Ft Road by Embassy Group,3407.0,7.8,Mid-range,Medium,436.7948717948718
Bangalore,ZIPP Lite Frazer Town,1855.0,9.5,Budget,High,195.26315789473685
Bangalore,Olive Zip Koramangala 4th Block by Embassy Group,2022.0,8.6,Budget,High,235.11627906976744
Bangalore,Hyatt Centric MG Road Bangalore,15400.0,8.1,Premium,Medium,1901.2345679012346
Bangalore,"The Fern Residency Bengaluru, Seshadripuram, Series by Marriott",4500.0,3.0,Mid-range,Low,1500.0
Bangalore,Olive Hotel JP Nagar by Embassy Group,2394.0,8.4,Budget,Medium,285.0
Bangalore,"Fortune Park JP Celestial, Bengaluru - Member ITC Hotels' Group",4750.0,7.1,Mid-range,Medium,669.0140845070423
Goa,Home Of Gaia,1772.0,8.5,Budget,High,208.47058823529412
Goa,Hotel Sea Sapphire,2800.0,8.9,Budget,High,314.6067415730337
Goa,Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,2929.0,7.3,Budget,Medium,401.2328767123288
Goa,Hotel Pajaros Blu,5000.0,8.9,Mid-range,High,561.7977528089888
Goa,"La Vera Boutique Hotel, Mandrem",3213.0,8.2,Mid-range,Medium,391.82926829268297
Goa,Hotel The Calangute Imperials,2429.0,9.2,Budget,High,264.0217391304348
Goa,"Maashpi Hotel & Resort, Candolim",4999.0,8.1,Mid-range,Medium,617.1604938271605
Goa,Mistral Holidays Near Trinity Beach & Benaulim Beach,2700.0,8.7,Budget,High,310.3448275862069
Goa,Hotel Sea Castle,4000.0,8.6,Mid-range,High,465.1162790697675
Goa,Summit Calangute Resort & Spa,4017.0,8.1,Mid-range,Medium,495.9259259259259
Goa,Sol De Goa,4500.0,7.9,Mid-range,Medium,569.620253164557
Goa,Grand Continent Morjim,4899.0,7.6,Mid-range,Medium,644.6052631578948
Goa,Viik wellness inn -3 Star Resort in Arambol Beach,2749.0,8.1,Budget,Medium,339.38271604938274
Goa,Exotic star 1 BHK 2BHK Apartment,1848.0,7.3,Budget,Medium,253.15068493150685
Goa,Red Thread Calangute,3750.0,7.7,Mid-range,Medium,487.012987012987
Goa,Aaria Hills,3101.0,8.2,Mid-range,Medium,378.1707317073171
Goa,BluO Amani Vagator - Boutique Hotel Goa,5171.0,8.6,Mid-range,High,601.2790697674419
Goa,Meritas Grand Inn Calangute,5950.0,8.9,Mid-range,High,668.5393258426966
Goa,The Goa Beach Resort - Best Selling Property in Goa,2250.0,7.2,Budget,Medium,312.5
Goa,"Bliss By Stays, Calangute",4500.0,8.8,Mid-range,High,511.3636363636363
Goa,"Verandah - A Beautiful Story, Near Anjuna Beach",3459.0,8.0,Mid-range,Medium,432.375
Goa,Blu Missel By The River,5610.0,8.3,Mid-range,Medium,675.9036144578313
Goa,"The Tanisi Resorts & Pool Villas, Candolim",8499.0,7.2,Premium,Medium,1180.4166666666667
Goa,Meritas Auberge Calangute Goa,7904.0,8.7,Premium,High,908.5057471264369
Goa,Moyrah By Greenpark,10170.0,9.2,Premium,High,1105.4347826086957
Jaipur,Jwala Niketan - Central Jaipur,1260.0,8.3,Budget,Medium,151.80722891566265
Jaipur,Raffles Jaipur,70000.0,9.0,Premium,High,7777.777777777777
Jaipur,Hyatt Place Jaipur Malviya Nagar,8262.0,8.0,Premium,Medium,1032.75
Jaipur,"ITC Rajputana, a Luxury Collection Hotel, Jaipur",19000.0,8.5,Premium,High,2235.294117647059
Jaipur,Trim Boutique Parkota Haveli,3779.0,8.0,Mid-range,Medium,472.375
Jaipur,Jaipur Hotel New - Heritage Hotel,2677.0,8.2,Budget,Medium,326.4634146341464
Jaipur,Umaid Mahal - A Heritage Style Boutique Hotel,6892.0,8.5,Mid-range,High,810.8235294117648
Jaipur,Sarang Palace - A Luxury Boutique Hotel,4900.0,8.2,Mid-range,Medium,597.5609756097562
Jaipur,Ramada By Wyndham Jaipur,5760.0,6.6,Mid-range,Low,872.7272727272727
Jaipur,"Dera Jaipur - Luxury Heritage Stays in Bani Park, Jaipur",4633.0,8.9,Mid-range,High,520.561797752809
Jaipur,Holiday Inn Express & Suites Jaipur Gopalpura by IHG,7379.0,8.1,Premium,Medium,910.9876543209876
Jaipur,TrimHotel Grandview Jaipur,3401.0,8.0,Mid-range,Medium,425.125
Jaipur,Trimrooms Mount Blue,2519.0,7.7,Budget,Medium,327.1428571428571
Jaipur,Hotel Arya Niwas,5400.0,8.8,Mid-range,High,613.6363636363636
Jaipur,Pearl Palace Heritage Boutique Hotel,8500.0,9.3,Premium,High,913.9784946236558
Jaipur,Hotel Bissau Palace,9680.0,8.4,Premium,Medium,1152.3809523809523
Jaipur,Hotel Pulse Inn- Near Jaipur Railway Station,1680.0,7.6,Budget,Medium,221.05263157894737
Jaipur,Shree Nikunj - A Luxury Boutique Homestay in Jaipur,4025.0,9.1,Mid-range,High,442.3076923076923
Jaipur,"The Fern, Jaipur, Series by Marriott",5250.0,7.6,Mid-range,Medium,690.7894736842105
Jaipur,AnandMai - Sustainable Living Spaces,2560.0,9.1,Budget,High,281.31868131868134
Jaipur,Pandya Niwas,1980.0,7.9,Budget,Medium,250.63291139240505
Jaipur,The Sunder Palace-Jaipur City Centre Hotel,6960.0,8.4,Mid-range,Medium,828.5714285714286
Jaipur,Laxmi Palace Heritage Boutique Hotel,6435.0,8.3,Mid-range,Medium,775.301204819277
Jaipur,ASHOK VILLA,4500.0,9.2,Mid-range,High,489.13043478260875
Jaipur,Dera Rawatsar - Heritage Hotel,8100.0,9.2,Premium,High,880.4347826086957
Jaipur,Villa Bonita- Luxury Farm Stay Jaipur,11098.0,,Premium,No rating,
